Account_Number,last_txn_date,frequency,monetary,avg_monetary,customer_age,customer_income,account_balance,recency_days,churn_label
AAGF56964741331151,2023-12-15 09:18:14,1,4132.8,4132.8,32,117819.25,15563.02,402,1
AAHF65030524114207,2023-03-03 22:30:11,1,2836.6,2836.6,58,109834.12,6317.92,688,1
AAJK21289915114551,2023-03-27 21:16:09,1,1503.49,1503.49,49,87552.61,1876.15,664,1
AANF38183924516791,2024-03-22 13:40:48,1,875.14,875.14,34,131361.8,13445.36,303,1
AASV46584639248878,2025-01-12 13:12:40,1,3773.31,3773.31,21,52507.8,1899.08,7,0
ABCY11566311084855,2024-01-22 07:57:25,1,214.76,214.76,70,53126.82,9207.81,364,1
ABDC13915480442364,2023-08-07 08:48:45,1,226.46,226.46,52,94823.59,13413.85,532,1
ABHX04716623425301,2024-03-30 06:52:56,1,3311.54,3311.54,60,89169.46,6989.7,296,1
ABMR40964293855507,2024-11-26 18:13:12,1,2417.25,2417.25,25,136184.05,13283.77,54,0
ABMW63295689865748,2024-01-06 22:43:07,1,2497.5,2497.5,62,127965.85,6425.22,379,1
ABOX78981968706668,2024-04-01 23:25:17,1,535.79,535.79,52,53041.28,3679.97,293,1
ABQE63746462250747,2024-10-21 14:12:18,1,2804.97,2804.97,44,62694.79,5106.35,90,0
ABXS76325273976748,2023-07-21 00:17:06,1,536.79,536.79,64,137948.83,19353.71,549,1
ABYA00015291137178,2024-06-03 08:10:02,1,2768.35,2768.35,54,36092.64,17181.65,231,1
ABYK35760367336142,2024-06-17 01:01:59,1,2776.79,2776.79,22,103253.56,15611.69,217,1
ACAY03434499758586,2023-06-23 22:53:41,1,2772.99,2772.99,19,132289.97,1603.57,576,1
ACGN51220163576913,2024-04-23 19:47:21,1,284.33,284.33,41,109150.03,3645.53,271,1
ACSC54260782411643,2024-03-09 00:11:28,1,4048.34,4048.34,30,145275.96,15008.37,317,1
ACTT05024065117471,2024-10-06 09:00:57,1,4695.05,4695.05,48,92072.85,13293.3,106,1
ACXU62762922666788,2023-07-03 04:15:08,1,4899.81,4899.81,26,118435.4,4991.26,567,1
ACZR48456480356761,2024-08-05 11:39:31,1,4618.57,4618.57,54,27915.09,13614.19,168,1
ADAH20823416099097,2023-07-28 07:32:04,1,3074.35,3074.35,19,108152.23,7898.46,542,1
