Account_Number,txn_count,total_spend,avg_spend,std_spend,failed_txn_count,online_txn_count,Discount_Applied_mean,Loyalty_Points_Earned_sum,online_txn_ratio,failed_txn_ratio
AAGF56964741331151,1,4132.8,4132.8,,1,0,0.0,484,0.0,1.0
AAHF65030524114207,1,2836.6,2836.6,,0,0,1.0,486,0.0,0.0
AAJK21289915114551,1,1503.49,1503.49,,0,0,0.0,260,0.0,0.0
AANF38183924516791,1,875.14,875.14,,1,0,0.0,79,0.0,1.0
AASV46584639248878,1,3773.31,3773.31,,0,0,1.0,231,0.0,0.0
ABCY11566311084855,1,214.76,214.76,,0,0,0.0,321,0.0,0.0
ABDC13915480442364,1,226.46,226.46,,0,0,1.0,423,0.0,0.0
ABHX04716623425301,1,3311.54,3311.54,,0,0,1.0,395,0.0,0.0
ABMR40964293855507,1,2417.25,2417.25,,0,0,0.0,446,0.0,0.0
ABMW63295689865748,1,2497.5,2497.5,,0,0,0.0,276,0.0,0.0
ABOX78981968706668,1,535.79,535.79,,1,0,0.0,137,0.0,1.0
ABQE63746462250747,1,2804.97,2804.97,,0,0,0.0,27,0.0,0.0
ABXS76325273976748,1,536.79,536.79,,1,0,0.0,309,0.0,1.0
ABYA00015291137178,1,2768.35,2768.35,,0,0,1.0,255,0.0,0.0
ABYK35760367336142,1,2776.79,2776.79,,0,0,0.0,388,0.0,0.0
ACAY03434499758586,1,2772.99,2772.99,,0,0,0.0,76,0.0,0.0
ACGN51220163576913,1,284.33,284.33,,0,0,1.0,435,0.0,0.0
ACSC54260782411643,1,4048.34,4048.34,,0,0,0.0,306,0.0,0.0
ACTT05024065117471,1,4695.05,4695.05,,0,0,0.0,76,0.0,0.0
ACXU62762922666788,1,4899.81,4899.81,,0,0,1.0,149,0.0,0.0
ACZR48456480356761,1,4618.57,4618.57,,1,0,0.0,385,0.0,1.0
ADAH20823416099097,1,3074.35,3074.35,,0,0,1.0,310,0.0,0.0
ADDC67051210753535,1,4101.57,4101.57,,0,0,0.0,120,0.0,0.0
ADEX88452969338947,1,3895.45,3895.45,,1,0,1.0,115,0.0,1.0
ADFD92446330297399,1,2514.11,2514.11,,0,0,1.0,427,0.0,0.0
ADIQ12971988408943,1,567.67,567.67,,1,0,1.0,300,0.0,1.0
ADNK55786457865557,1,2077.64,2077.64,,1,0,1.0,192,0.0,1.0
ADPU05694904578847,1,3997.86,3997.86,,0,0,0.0,122,0.0,0.0
ADSV46116081074525,1,2857.21,2857.21,,0,0,0.0,286,0.0,0.0
ADUY36510344442990,1,2180.26,2180.26,,1,0,1.0,331,0.0,1.0
ADUZ17617061301127,1,3626.49,3626.49,,1,0,1.0,13,0.0,1.0
AEFU72752152723114,1,4204.78,4204.78,,1,0,1.0,499,0.0,1.0
AEII64285952529242,1,3992.12,3992.12,,0,0,1.0,380,0.0,0.0
AERC00032666178088,1,1384.62,1384.62,,1,0,0.0,205,0.0,1.0
AEST73854424029480,1,4819.33,4819.33,,0,0,1.0,200,0.0,0.0
AEUP80620922751589,1,2962.85,2962.85,,0,0,0.0,197,0.0,0.0
AEYJ36524055364818,1,3175.75,3175.75,,0,0,0.0,115,0.0,0.0
AEYU68387890345029,1,3354.08,3354.08,,1,0,0.0,153,0.0,1.0
AFEZ34778045797251,1,3037.29,3037.29,,0,0,0.0,499,0.0,0.0
AGFO18875875098020,1,1574.35,1574.35,,1,0,1.0,251,0.0,1.0
AGFV11920613638527,1,3105.2,3105.2,,0,0,1.0,14,0.0,0.0
AGGD37587807767758,1,2973.47,2973.47,,1,0,1.0,336,0.0,1.0
AGHA86414863290850,1,2037.5,2037.5,,1,0,0.0,85,0.0,1.0
AGOP31205886948530,1,4151.2,4151.2,,0,0,1.0,108,0.0,0.0
AGOY01709264070308,1,205.96,205.96,,1,0,0.0,20,0.0,1.0
AGSJ29045886792529,1,1143.35,1143.35,,0,0,0.0,362,0.0,0.0
AGVE04347433442106,1,3846.98,3846.98,,0,0,1.0,224,0.0,0.0
AGVE21775990254983,1,3279.15,3279.15,,0,0,0.0,26,0.0,0.0
AGWP94400010568977,1,4245.26,4245.26,,1,0,0.0,454,0.0,1.0
AHAB81039111407559,1,1885.49,1885.49,,0,0,1.0,150,0.0,0.0
AHDH46443901533958,1,949.16,949.16,,0,0,0.0,76,0.0,0.0
AHEH91932528267126,1,736.49,736.49,,0,0,0.0,177,0.0,0.0
AHGO44999870933913,1,4160.97,4160.97,,1,0,0.0,369,0.0,1.0
AHTD70263444359624,1,4580.78,4580.78,,0,0,0.0,463,0.0,0.0
AHTT49201330342289,1,1872.93,1872.93,,1,0,0.0,89,0.0,1.0
AHTW34271866925529,1,2552.21,2552.21,,0,0,0.0,241,0.0,0.0
AIEP63628144471893,1,2445.45,2445.45,,0,0,1.0,340,0.0,0.0
AIJO12083624874856,1,1802.79,1802.79,,0,0,1.0,97,0.0,0.0
AIMA70014413068624,1,4564.58,4564.58,,0,0,0.0,198,0.0,0.0
AIUN05100199500987,1,1582.93,1582.93,,0,0,1.0,169,0.0,0.0
AIWL34782772532095,1,231.29,231.29,,0,0,0.0,2,0.0,0.0
AIXZ01939589818432,1,1252.23,1252.23,,0,0,0.0,480,0.0,0.0
AIYM57173771578729,1,4868.54,4868.54,,0,0,0.0,153,0.0,0.0
AJAO14697147973418,1,4059.79,4059.79,,1,0,1.0,114,0.0,1.0
AJNS01749538916244,1,3191.53,3191.53,,0,0,1.0,130,0.0,0.0
AJOU00622501775917,1,4926.88,4926.88,,0,0,1.0,38,0.0,0.0
AJTQ35632770361932,1,1360.2,1360.2,,0,0,0.0,282,0.0,0.0
AJUF54969192845525,1,1009.75,1009.75,,0,0,1.0,39,0.0,0.0
AJUR79370123357937,1,157.66,157.66,,0,0,1.0,297,0.0,0.0
AJUT62732262611424,1,3479.14,3479.14,,0,0,0.0,420,0.0,0.0
AJUZ99157380679967,1,4068.48,4068.48,,0,0,0.0,456,0.0,0.0
AJVJ79405051594906,1,873.11,873.11,,0,0,1.0,258,0.0,0.0
AJYP79001388597871,1,951.35,951.35,,1,0,0.0,241,0.0,1.0
AKGO82868722030710,1,1800.85,1800.85,,0,0,1.0,391,0.0,0.0
AKHD60227433037271,1,2977.23,2977.23,,0,0,1.0,9,0.0,0.0
AKHJ28164416101975,1,432.64,432.64,,0,0,0.0,22,0.0,0.0
AKHK21622965221198,1,927.81,927.81,,0,0,0.0,118,0.0,0.0
AKID52807864770169,1,1005.48,1005.48,,0,0,1.0,277,0.0,0.0
AKIH37073671274706,1,2891.78,2891.78,,0,0,1.0,296,0.0,0.0
AKTW20823530976691,1,4726.24,4726.24,,0,0,0.0,351,0.0,0.0
AKUB52438380582692,1,3863.54,3863.54,,0,0,1.0,135,0.0,0.0
ALBW74511524718710,1,2366.76,2366.76,,1,0,1.0,76,0.0,1.0
ALHJ74923081079934,1,200.76,200.76,,0,0,1.0,133,0.0,0.0
ALJU67884880595474,1,2496.65,2496.65,,1,0,1.0,116,0.0,1.0
ALPG26630562597223,1,2776.92,2776.92,,1,0,1.0,161,0.0,1.0
ALYH72565633734348,1,2484.29,2484.29,,0,0,0.0,33,0.0,0.0
AMAS58062745669839,1,3970.53,3970.53,,1,0,0.0,412,0.0,1.0
AMGH65586171106967,1,4677.88,4677.88,,0,0,1.0,196,0.0,0.0
AMHE50313928048502,1,1189.84,1189.84,,0,0,1.0,402,0.0,0.0
AMKN81540985217729,1,1924.71,1924.71,,1,0,1.0,395,0.0,1.0
AMNK89782425658293,1,693.65,693.65,,1,0,1.0,452,0.0,1.0
AMSY84433890254712,1,3134.27,3134.27,,0,0,1.0,49,0.0,0.0
AMUF01663340142156,1,3033.27,3033.27,,1,0,0.0,305,0.0,1.0
AMWE63823919294787,1,3391.25,3391.25,,1,0,0.0,421,0.0,1.0
AMXH78170483648116,1,3666.04,3666.04,,1,0,0.0,41,0.0,1.0
ANAQ27610023512094,1,670.07,670.07,,0,0,0.0,31,0.0,0.0
ANCR12054647548954,1,1396.33,1396.33,,0,0,0.0,258,0.0,0.0
ANDE68737014498771,1,1592.34,1592.34,,0,0,0.0,434,0.0,0.0
ANJK33845247994197,1,654.72,654.72,,0,0,1.0,191,0.0,0.0
ANMR67994206137698,1,399.38,399.38,,0,0,0.0,443,0.0,0.0
AOKJ09150863218122,1,1704.55,1704.55,,0,0,0.0,468,0.0,0.0
AOLZ35138345629334,1,3798.67,3798.67,,0,0,1.0,13,0.0,0.0
AOTS14937191045141,1,3079.97,3079.97,,0,0,0.0,102,0.0,0.0
AOUM32713538676259,1,2255.32,2255.32,,1,0,1.0,282,0.0,1.0
AOYM61706166846482,1,648.31,648.31,,1,0,0.0,353,0.0,1.0
AOYV66453629213501,1,3434.4,3434.4,,0,0,1.0,51,0.0,0.0
APDH69300522144267,1,3548.11,3548.11,,1,0,1.0,460,0.0,1.0
APHA81634811050272,1,2817.91,2817.91,,0,0,1.0,393,0.0,0.0
APWC55587094042245,1,231.86,231.86,,1,0,0.0,462,0.0,1.0
AQDZ57129015071380,1,3354.79,3354.79,,0,0,0.0,370,0.0,0.0
AQIQ18762099069319,1,1514.44,1514.44,,0,0,1.0,404,0.0,0.0
AQOR87526322844133,1,3238.66,3238.66,,0,0,1.0,393,0.0,0.0
AQSZ34868839062467,1,2741.95,2741.95,,1,0,0.0,158,0.0,1.0
AQUW74950334670577,1,1671.18,1671.18,,0,0,1.0,61,0.0,0.0
AQVY78847798882437,1,2033.11,2033.11,,0,0,1.0,461,0.0,0.0
