Account_Number,last_txn_date,frequency,monetary,avg_monetary,customer_age,customer_income,account_balance,recency_days,txn_count,total_spend,avg_spend,std_spend,failed_txn_count,online_txn_count,Discount_Applied_mean,Loyalty_Points_Earned_sum,online_txn_ratio,failed_txn_ratio,loan_amount,loan_term,loan_purpose,risk_score,default_flag
AAGF56964741331151,2023-12-15 09:18:14,1,4132.8,4132.8,32,117819.25,15563.02,402,1,4132.8,4132.8,,1,0,0.0,484,0.0,1.0,2269110,24,Personal,0.16687099040547265,0
AAHF65030524114207,2023-03-03 22:30:11,1,2836.6,2836.6,58,109834.12,6317.92,688,1,2836.6,2836.6,,0,0,1.0,486,0.0,0.0,2279084,48,Business,0.17536149679328317,0
AAJK21289915114551,2023-03-27 21:16:09,1,1503.49,1503.49,49,87552.61,1876.15,664,1,1503.49,1503.49,,0,0,0.0,260,0.0,0.0,2406330,12,Education,0.23305810659484938,0
AANF38183924516791,2024-03-22 13:40:48,1,875.14,875.14,34,131361.8,13445.36,303,1,875.14,875.14,,1,0,0.0,79,0.0,1.0,1742743,48,Personal,0.11552821541121304,0
AASV46584639248878,2025-01-12 13:12:40,1,3773.31,3773.31,21,52507.8,1899.08,7,1,3773.31,3773.31,,0,0,1.0,231,0.0,0.0,160268,24,Personal,0.019777086161140246,0
ABCY11566311084855,2024-01-22 07:57:25,1,214.76,214.76,70,53126.82,9207.81,364,1,214.76,214.76,,0,0,0.0,321,0.0,0.0,782180,48,Home,0.12371886070735899,0
ABDC13915480442364,2023-08-07 08:48:45,1,226.46,226.46,52,94823.59,13413.85,532,1,226.46,226.46,,0,0,1.0,423,0.0,0.0,2284489,60,Business,0.20399281553404136,0
ABHX04716623425301,2024-03-30 06:52:56,1,3311.54,3311.54,60,89169.46,6989.7,296,1,3311.54,3311.54,,0,0,1.0,395,0.0,0.0,1620006,60,Personal,0.15323459232192368,0
ABMR40964293855507,2024-11-26 18:13:12,1,2417.25,2417.25,25,136184.05,13283.77,54,1,2417.25,2417.25,,0,0,0.0,446,0.0,0.0,2053274,24,Business,0.12504244503773648,0
ABMW63295689865748,2024-01-06 22:43:07,1,2497.5,2497.5,62,127965.85,6425.22,379,1,2497.5,2497.5,,0,0,0.0,276,0.0,0.0,1186074,36,Home,0.07698939566304067,0
ABOX78981968706668,2024-04-01 23:25:17,1,535.79,535.79,52,53041.28,3679.97,293,1,535.79,535.79,,1,0,0.0,137,0.0,1.0,2322355,60,Business,0.37699074130638227,1
ABQE63746462250747,2024-10-21 14:12:18,1,2804.97,2804.97,44,62694.79,5106.35,90,1,2804.97,2804.97,,0,0,0.0,27,0.0,0.0,1289911,12,Home,0.17385420068406898,0
ABXS76325273976748,2023-07-21 00:17:06,1,536.79,536.79,64,137948.83,19353.71,549,1,536.79,536.79,,1,0,0.0,309,0.0,1.0,328167,24,Home,0.022242809377771823,0
ABYA00015291137178,2024-06-03 08:10:02,1,2768.35,2768.35,54,36092.64,17181.65,231,1,2768.35,2768.35,,0,0,1.0,255,0.0,0.0,2188242,48,Vehicle,0.5170223597273108,0
ABYK35760367336142,2024-06-17 01:01:59,1,2776.79,2776.79,22,103253.56,15611.69,217,1,2776.79,2776.79,,0,0,0.0,388,0.0,0.0,379365,48,Business,0.02905592062020019,0
ACAY03434499758586,2023-06-23 22:53:41,1,2772.99,2772.99,19,132289.97,1603.57,576,1,2772.99,2772.99,,0,0,0.0,76,0.0,0.0,837201,12,Education,0.05179866683446391,1
ACGN51220163576913,2024-04-23 19:47:21,1,284.33,284.33,41,109150.03,3645.53,271,1,284.33,284.33,,0,0,1.0,435,0.0,0.0,1420455,60,Vehicle,0.1090767888535906,0
ACSC54260782411643,2024-03-09 00:11:28,1,4048.34,4048.34,30,145275.96,15008.37,317,1,4048.34,4048.34,,0,0,0.0,306,0.0,0.0,1816891,24,Home,0.10473053235082802,0
ACTT05024065117471,2024-10-06 09:00:57,1,4695.05,4695.05,48,92072.85,13293.3,106,1,4695.05,4695.05,,0,0,0.0,76,0.0,0.0,377069,12,Education,0.032664846101415644,0
ACXU62762922666788,2023-07-03 04:15:08,1,4899.81,4899.81,26,118435.4,4991.26,567,1,4899.81,4899.81,,0,0,1.0,149,0.0,0.0,1875573,60,Personal,0.13325935071440353,0
ACZR48456480356761,2024-08-05 11:39:31,1,4618.57,4618.57,54,27915.09,13614.19,168,1,4618.57,4618.57,,1,0,0.0,385,0.0,1.0,841743,24,Personal,0.26020586848045646,0
ADAH20823416099097,2023-07-28 07:32:04,1,3074.35,3074.35,19,108152.23,7898.46,542,1,3074.35,3074.35,,0,0,1.0,310,0.0,0.0,153355,48,Vehicle,0.009725551897709189,0
ADDC67051210753535,2024-09-25 22:16:59,1,4101.57,4101.57,42,30093.19,15518.18,116,1,4101.57,4101.57,,0,0,0.0,120,0.0,0.0,1312752,24,Education,0.3713217911935973,1
ADEX88452969338947,2023-02-17 04:07:03,1,3895.45,3895.45,30,79013.58,9969.24,703,1,3895.45,3895.45,,1,0,1.0,115,0.0,1.0,2331931,36,Business,0.2547228813069547,0
ADFD92446330297399,2023-10-13 09:34:46,1,2514.11,2514.11,66,27347.72,10670.97,465,1,2514.11,2514.11,,0,0,1.0,427,0.0,0.0,1446025,24,Education,0.45059344577594507,1
ADIQ12971988408943,2024-09-29 02:19:50,1,567.67,567.67,34,30176.26,3725.88,113,1,567.67,567.67,,1,0,1.0,300,0.0,1.0,1520485,36,Vehicle,0.4335564336509434,0
ADNK55786457865557,2023-05-05 15:56:07,1,2077.64,2077.64,66,98626.56,12749.65,625,1,2077.64,2077.64,,1,0,1.0,192,0.0,1.0,1039436,24,Business,0.09215802413627858,0
ADPU05694904578847,2023-06-25 21:02:16,1,3997.86,3997.86,22,141331.41,9913.92,574,1,3997.86,3997.86,,0,0,0.0,122,0.0,0.0,1357371,36,Business,0.07986392686894182,0
ADSV46116081074525,2024-02-11 06:31:03,1,2857.21,2857.21,51,32698.82,10720.27,344,1,2857.21,2857.21,,0,0,0.0,286,0.0,0.0,967040,48,Personal,0.2509580027209338,0
ADUY36510344442990,2023-08-05 05:34:04,1,2180.26,2180.26,31,25773.88,2875.97,534,1,2180.26,2180.26,,1,0,1.0,331,0.0,1.0,1598762,60,Education,0.5333109145746475,0
ADUZ17617061301127,2023-06-09 23:58:01,1,3626.49,3626.49,51,111889.73,5433.79,590,1,3626.49,3626.49,,1,0,1.0,13,0.0,1.0,2303882,36,Business,0.1782781512495791,1
AEFU72752152723114,2023-09-06 22:09:24,1,4204.78,4204.78,41,85167.88,2277.6,501,1,4204.78,4204.78,,1,0,1.0,499,0.0,1.0,1969486,36,Vehicle,0.199989396035629,0
AEII64285952529242,2024-02-04 21:43:03,1,3992.12,3992.12,35,55918.81,7023.47,350,1,3992.12,3992.12,,0,0,1.0,380,0.0,0.0,704811,48,Personal,0.1055664568033687,0
AERC00032666178088,2023-12-15 07:43:28,1,1384.62,1384.62,66,30549.52,18883.17,402,1,1384.62,1384.62,,1,0,0.0,205,0.0,1.0,577035,36,Business,0.16369067535328283,1
AEST73854424029480,2024-04-21 14:25:32,1,4819.33,4819.33,52,24884.32,6738.62,273,1,4819.33,4819.33,,0,0,1.0,200,0.0,0.0,698143,12,Education,0.23794470012277638,0
AEUP80620922751589,2024-03-30 13:33:33,1,2962.85,2962.85,45,31288.84,17560.43,295,1,2962.85,2962.85,,0,0,0.0,197,0.0,0.0,1550942,48,Personal,0.42226243794145574,1
AEYJ36524055364818,2024-04-26 11:51:17,1,3175.75,3175.75,48,21273.8512,4285.51,269,1,3175.75,3175.75,,0,0,0.0,115,0.0,0.0,115725,12,Education,0.04418212125462506,0
AEYU68387890345029,2023-06-27 16:04:33,1,3354.08,3354.08,65,127613.43,10604.68,572,1,3354.08,3354.08,,1,0,0.0,153,0.0,1.0,134654,48,Education,0.010901249411513644,0
AFEZ34778045797251,2024-05-14 05:33:00,1,3037.29,3037.29,56,39316.37,17759.28,251,1,3037.29,3037.29,,0,0,0.0,499,0.0,0.0,1003277,36,Education,0.21620777769093644,0
AGFO18875875098020,2024-09-23 01:40:48,1,1574.35,1574.35,49,87487.18,3829.24,119,1,1574.35,1574.35,,1,0,1.0,251,0.0,1.0,2004354,12,Personal,0.19815173476633396,0
AGFV11920613638527,2024-08-03 14:37:32,1,3105.2,3105.2,69,23915.27,13459.96,169,1,3105.2,3105.2,,0,0,1.0,14,0.0,0.0,2466182,36,Business,0.8810778467036559,1
AGGD37587807767758,2024-01-13 17:13:13,1,2973.47,2973.47,70,140449.71,15763.23,372,1,2973.47,2973.47,,1,0,1.0,336,0.0,1.0,2420690,48,Home,0.1495301493558998,0
AGHA86414863290850,2024-03-23 17:41:08,1,2037.5,2037.5,39,118621.59,11249.48,302,1,2037.5,2037.5,,1,0,0.0,85,0.0,1.0,2478388,36,Business,0.18087070906513183,0
AGOP31205886948530,2024-05-07 19:35:50,1,4151.2,4151.2,58,35888.67,10761.03,257,1,4151.2,4151.2,,0,0,1.0,108,0.0,0.0,578178,12,Personal,0.13560484158185834,0
AGOY01709264070308,2023-12-26 12:06:18,1,205.96,205.96,29,57466.94,1287.68,391,1,205.96,205.96,,1,0,0.0,20,0.0,1.0,1355416,12,Home,0.20394026475340846,0
AGSJ29045886792529,2023-09-05 22:06:35,1,1143.35,1143.35,56,69186.42,7821.39,502,1,1143.35,1143.35,,0,0,0.0,362,0.0,0.0,2496609,36,Home,0.30674778655382334,0
AGVE04347433442106,2023-03-24 00:58:21,1,3846.98,3846.98,51,116516.46,7153.01,668,1,3846.98,3846.98,,0,0,1.0,224,0.0,0.0,1515689,24,Home,0.10903044398290239,0
AGVE21775990254983,2024-10-02 13:44:36,1,3279.15,3279.15,64,24885.88,10527.15,109,1,3279.15,3279.15,,0,0,0.0,26,0.0,0.0,118148,48,Vehicle,0.038252092485291676,0
AGWP94400010568977,2023-07-28 04:28:52,1,4245.26,4245.26,61,63444.02,14948.63,542,1,4245.26,4245.26,,1,0,0.0,454,0.0,1.0,1875665,48,Personal,0.25515951385024527,0
AHAB81039111407559,2023-07-24 22:55:13,1,1885.49,1885.49,45,80324.87,8512.31,545,1,1885.49,1885.49,,0,0,1.0,150,0.0,0.0,306508,36,Vehicle,0.0302702670925594,0
AHDH46443901533958,2023-06-03 20:20:00,1,949.16,949.16,24,96948.45,3594.25,596,1,949.16,949.16,,0,0,0.0,76,0.0,0.0,853591,24,Home,0.07301295518031242,0
AHEH91932528267126,2023-07-06 03:16:34,1,736.49,736.49,60,83701.11,9759.93,564,1,736.49,736.49,,0,0,0.0,177,0.0,0.0,946942,12,Vehicle,0.09450767198212161,0
AHGO44999870933913,2023-02-07 02:46:48,1,4160.97,4160.97,42,66914.4,15507.09,713,1,4160.97,4160.97,,1,0,0.0,369,0.0,1.0,2253682,60,Vehicle,0.2904245861784772,0
AHTD70263444359624,2023-03-18 15:08:10,1,4580.78,4580.78,18,118089.47,10771.31,673,1,4580.78,4580.78,,0,0,0.0,463,0.0,0.0,654365,60,Personal,0.045053450247840236,0
AHTT49201330342289,2023-08-28 21:25:01,1,1872.93,1872.93,51,51959.62,14083.89,510,1,1872.93,1872.93,,1,0,0.0,89,0.0,1.0,1920928,36,Education,0.31860746146785907,0
AHTW34271866925529,2023-05-26 05:40:45,1,2552.21,2552.21,40,58711.42,6670.78,605,1,2552.21,2552.21,,0,0,0.0,241,0.0,0.0,1823415,24,Vehicle,0.26366821546071184,0
AIEP63628144471893,2024-06-01 05:07:57,1,2445.45,2445.45,49,92661.75,1447.45,233,1,2445.45,2445.45,,0,0,1.0,340,0.0,0.0,2105555,24,Vehicle,0.19226368235566438,0
AIJO12083624874856,2025-01-11 23:03:34,1,1802.79,1802.79,44,24290.63,14441.86,8,1,1802.79,1802.79,,0,0,1.0,97,0.0,0.0,855889,48,Home,0.2955548735243221,0
AIMA70014413068624,2023-08-20 19:34:08,1,4564.58,4564.58,43,22165.58,5183.81,518,1,4564.58,4564.58,,0,0,0.0,198,0.0,0.0,1558349,12,Home,0.5999163945978875,0
AIUN05100199500987,2024-11-22 16:26:34,1,1582.93,1582.93,69,83082.03,18161.77,58,1,1582.93,1582.93,,0,0,1.0,169,0.0,0.0,2355413,24,Home,0.23895503400937437,0
AIWL34782772532095,2023-10-05 17:21:54,1,231.29,231.29,50,23958.37,8548.56,472,1,231.29,231.29,,0,0,0.0,2,0.0,0.0,1413715,60,Business,0.5031241537856618,1
AIXZ01939589818432,2024-02-13 22:13:46,1,1252.23,1252.23,46,116311.13,17656.96,341,1,1252.23,1252.23,,0,0,0.0,480,0.0,0.0,1270405,12,Vehicle,0.09115879984203211,0
AIYM57173771578729,2023-12-30 07:45:10,1,4868.54,4868.54,58,64523.53,4171.05,387,1,4868.54,4868.54,,0,0,0.0,153,0.0,0.0,321836,12,Home,0.040311884570067964,0
AJAO14697147973418,2024-08-25 11:19:51,1,4059.79,4059.79,26,131751.68,4091.36,148,1,4059.79,4059.79,,1,0,1.0,114,0.0,1.0,2145505,36,Personal,0.14138359886440327,0
AJNS01749538916244,2023-09-22 05:51:26,1,3191.53,3191.53,42,123263.16,17407.59,486,1,3191.53,3191.53,,0,0,1.0,130,0.0,0.0,2349435,24,Business,0.16088269885531623,0
AJOU00622501775917,2024-07-19 20:41:34,1,4926.88,4926.88,65,48736.15,5577.12,184,1,4926.88,4926.88,,0,0,1.0,38,0.0,0.0,246769,36,Education,0.040958371149519335,0
AJTQ35632770361932,2024-05-20 01:08:43,1,1360.2,1360.2,27,36158.62,9261.84,245,1,1360.2,1360.2,,0,0,0.0,282,0.0,0.0,1321741,24,Vehicle,0.3107595557554673,0
AJUF54969192845525,2024-09-14 07:28:33,1,1009.75,1009.75,64,111656.34,14520.09,128,1,1009.75,1009.75,,0,0,1.0,39,0.0,0.0,1096797,48,Vehicle,0.08173841888411522,1
AJUR79370123357937,2023-12-22 16:00:18,1,157.66,157.66,66,84683.46,6412.13,394,1,157.66,157.66,,0,0,1.0,297,0.0,0.0,1634398,36,Personal,0.1629363799166295,0
