Account_Number,recency_days,frequency,monetary,avg_monetary,customer_age,customer_income,account_balance,cat_share_Clothing,cat_share_Education,cat_share_Electronics,cat_share_Entertainment,cat_share_Fitness,cat_share_Food,cat_share_Grocery,cat_share_Healthcare,cat_share_Housing,cat_share_Savings,cat_share_Shopping,cat_share_Transport,cat_share_Travel,cat_share_Utilities
AAGF56964741331151,402,1,4132.8,4132.8,32,117819.25,15563.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AAHF65030524114207,688,1,2836.6,2836.6,58,109834.12,6317.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AAJK21289915114551,664,1,1503.49,1503.49,49,87552.61,1876.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AANF38183924516791,303,1,875.14,875.14,34,131361.8,13445.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AASV46584639248878,7,1,3773.31,3773.31,21,52507.8,1899.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCY11566311084855,364,1,214.76,214.76,70,53126.82,9207.81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABDC13915480442364,532,1,226.46,226.46,52,94823.59,13413.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHX04716623425301,296,1,3311.54,3311.54,60,89169.46,6989.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABMR40964293855507,54,1,2417.25,2417.25,25,136184.05,13283.77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABMW63295689865748,379,1,2497.5,2497.5,62,127965.85,6425.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ABOX78981968706668,293,1,535.79,535.79,52,53041.28,3679.97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABQE63746462250747,90,1,2804.97,2804.97,44,62694.79,5106.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABXS76325273976748,549,1,536.79,536.79,64,137948.83,19353.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABYA00015291137178,231,1,2768.35,2768.35,54,36092.64,17181.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABYK35760367336142,217,1,2776.79,2776.79,22,103253.56,15611.69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAY03434499758586,576,1,2772.99,2772.99,19,132289.97,1603.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ACGN51220163576913,271,1,284.33,284.33,41,109150.03,3645.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ACSC54260782411643,317,1,4048.34,4048.34,30,145275.96,15008.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ACTT05024065117471,106,1,4695.05,4695.05,48,92072.85,13293.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACXU62762922666788,567,1,4899.81,4899.81,26,118435.4,4991.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ACZR48456480356761,168,1,4618.57,4618.57,54,27915.09,13614.19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAH20823416099097,542,1,3074.35,3074.35,19,108152.23,7898.46,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADDC67051210753535,116,1,4101.57,4101.57,42,30093.19,15518.18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADEX88452969338947,703,1,3895.45,3895.45,30,79013.58,9969.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADFD92446330297399,465,1,2514.11,2514.11,66,27347.72,10670.97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIQ12971988408943,113,1,567.67,567.67,34,30176.26,3725.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ADNK55786457865557,625,1,2077.64,2077.64,66,98626.56,12749.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ADPU05694904578847,574,1,3997.86,3997.86,22,141331.41,9913.92,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADSV46116081074525,344,1,2857.21,2857.21,51,32698.82,10720.27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADUY36510344442990,534,1,2180.26,2180.26,31,25773.88,2875.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADUZ17617061301127,590,1,3626.49,3626.49,51,111889.73,5433.79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEFU72752152723114,501,1,4204.78,4204.78,41,85167.88,2277.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEII64285952529242,350,1,3992.12,3992.12,35,55918.81,7023.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AERC00032666178088,402,1,1384.62,1384.62,66,30549.52,18883.17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEST73854424029480,273,1,4819.33,4819.33,52,24884.32,6738.62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEUP80620922751589,295,1,2962.85,2962.85,45,31288.84,17560.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AEYJ36524055364818,269,1,3175.75,3175.75,48,21273.8512,4285.51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEYU68387890345029,572,1,3354.08,3354.08,65,127613.43,10604.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AFEZ34778045797251,251,1,3037.29,3037.29,56,39316.37,17759.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AGFO18875875098020,119,1,1574.35,1574.35,49,87487.18,3829.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGFV11920613638527,169,1,3105.2,3105.2,69,23915.27,13459.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
